date,order_id,sku,product_name,category,channel,region,units_sold,unit_price,revenue,cost,shipping_cost,platform_fee,ad_spend
2025-05-02,AMA-100026,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,361.01,361.01,200,5.43,54.15,21.71
2025-05-02,AMA-100027,Invisible Stick,Invisible Stick,Accessory,Amazon,US,1,45.43,45.43,12,5.42,6.81,4.59
2025-05-02,AMA-100028,Selfie Stick,Selfie Stick,Accessory,Amazon,UK,1,25.74,25.74,8,9.0,3.86,1.86
2025-05-02,AMA-100029,X4,X4,Action Camera,Amazon,UK,1,506.61,506.61,320,7.06,75.99,33.36
2025-05-02,AMA-100030,X4,X4,Action Camera,Amazon,UK,1,596.37,596.37,320,4.82,89.46,44.06
2025-05-02,AMA-100032,Bike Mount,Bike Mount,Mount,Amazon,US,1,19.36,19.36,6,7.32,2.9,1.69
2025-05-02,AMA-100033,X4,X4,Action Camera,Amazon,JP,2,532.25,1064.5,640,9.04,159.67,79.25
2025-05-02,AMA-100034,Bike Mount,Bike Mount,Mount,Amazon,DE,1,21.05,21.05,6,4.49,3.16,1.29
2025-05-02,AMA-100035,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,24.82,24.82,8,4.02,3.72,1.52
2025-05-02,AMA-100036,Lens Cap,Lens Cap,Accessory,Amazon,UK,1,10.36,10.36,2,5.41,1.55,0.75
2025-05-02,AMA-100037,Selfie Stick,Selfie Stick,Accessory,Amazon,DE,1,27.35,27.35,8,4.55,4.1,2.07
2025-05-02,AMA-100038,X3,X3,Action Camera,Amazon,JP,1,444.56,444.56,220,7.78,66.68,46.96
2025-05-02,AMA-100039,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,349.98,349.98,200,5.67,52.5,18.09
2025-05-02,AMA-100040,X4,X4,Action Camera,Amazon,JP,2,558.07,1116.14,640,9.32,167.42,57.01
2025-05-02,AMA-100041,GO 3S,GO 3S,Action Camera,Amazon,JP,2,264.58,529.16,280,8.64,79.37,40.72
2025-05-02,AMA-100042,X3,X3,Action Camera,Amazon,US,1,414.62,414.62,220,8.17,62.19,37.28
2025-05-02,AMA-100044,Invisible Stick,Invisible Stick,Accessory,Amazon,US,1,46.31,46.31,12,8.43,6.95,4.58
2025-05-02,AMA-100045,X3,X3,Action Camera,Amazon,US,1,406.07,406.07,220,9.19,60.91,46.26
2025-05-02,AMA-100046,Ace Pro,Ace Pro,Action Camera,Amazon,DE,1,390.62,390.62,200,8.76,58.59,43.87
2025-05-02,AMA-100047,GO 3S,GO 3S,Action Camera,Amazon,US,1,211.78,211.78,140,6.78,31.77,18.63
2025-05-03,AMA-100048,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,25.5,25.5,8,6.15,3.82,1.5
2025-05-03,AMA-100049,Battery,Battery,Accessory,Amazon,US,1,34.89,34.89,15,4.3,5.23,3.04
2025-05-03,AMA-100050,Selfie Stick,Selfie Stick,Accessory,Amazon,DE,3,27.1,81.3,24,11.86,12.19,8.59
2025-05-03,AMA-100051,GO 3S,GO 3S,Action Camera,Amazon,US,1,249.43,249.43,140,9.01,37.41,24.62
2025-05-03,AMA-100052,X4,X4,Action Camera,Amazon,US,1,485.71,485.71,320,8.28,72.86,46.73
2025-05-03,AMA-100053,Tripod Stand,Tripod Stand,Mount,Amazon,DE,1,38.57,38.57,10,6.51,5.79,2.6
2025-05-03,AMA-100054,Battery,Battery,Accessory,Amazon,US,1,34.62,34.62,15,4.23,5.19,3.8
2025-05-03,AMA-100055,GO 3S,GO 3S,Action Camera,Amazon,US,1,229.56,229.56,140,5.03,34.43,18.45
2025-05-03,AMA-100056,Selfie Stick,Selfie Stick,Accessory,Amazon,UK,1,27.13,27.13,8,7.75,4.07,2.31
2025-05-03,AMA-100057,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,24.73,24.73,8,4.15,3.71,2.25
2025-05-03,AMA-100058,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,334.31,334.31,200,7.26,50.15,38.75
2025-05-03,AMA-100059,Tripod Stand,Tripod Stand,Mount,Amazon,JP,1,33.71,33.71,10,4.59,5.06,1.73
2025-05-03,AMA-100061,X4,X4,Action Camera,Amazon,US,1,441.09,441.09,320,8.88,66.16,30.76
2025-05-03,AMA-100063,Selfie Stick,Selfie Stick,Accessory,Amazon,DE,1,28.46,28.46,8,5.68,4.27,1.78
2025-05-03,AMA-100064,Charging Hub,Charging Hub,Accessory,Amazon,JP,1,60.1,60.1,20,8.65,9.02,4.44
2025-05-03,AMA-100065,Bike Mount,Bike Mount,Mount,Amazon,US,1,19.16,19.16,6,4.61,2.87,2.17
2025-05-03,AMA-100066,Charging Hub,Charging Hub,Accessory,Amazon,US,2,55.82,111.64,40,6.08,16.75,12.66
2025-05-03,AMA-100068,Tripod Stand,Tripod Stand,Mount,Amazon,JP,1,37.32,37.32,10,6.68,5.6,2.63
2025-05-03,AMA-100069,Lens Cap,Lens Cap,Accessory,Amazon,DE,1,10.22,10.22,2,4.54,1.53,0.86
2025-05-03,AMA-100071,GO 3S,GO 3S,Action Camera,Amazon,DE,1,240.89,240.89,140,4.85,36.13,24.89
2025-05-04,AMA-100072,X4,X4,Action Camera,Amazon,US,1,445.29,445.29,320,8.92,66.79,44.28
2025-05-04,AMA-100075,GO 3S,GO 3S,Action Camera,Amazon,US,1,248.81,248.81,140,9.91,37.32,25.56
2025-05-04,AMA-100076,X4,X4,Action Camera,Amazon,DE,1,532.12,532.12,320,9.43,79.82,30.75
2025-05-04,AMA-100077,X4,X4,Action Camera,Amazon,US,1,449.2,449.2,320,4.7,67.38,42.87
2025-05-04,AMA-100078,Ace Pro,Ace Pro,Action Camera,Amazon,JP,1,350.0,350.0,200,9.2,52.5,22.98
2025-05-04,AMA-100079,X4,X4,Action Camera,Amazon,JP,1,555.89,555.89,320,7.16,83.38,66.43
2025-05-04,AMA-100081,Tripod Stand,Tripod Stand,Mount,Amazon,UK,1,40.18,40.18,10,6.72,6.03,3.77
2025-05-04,AMA-100082,Helmet Mount,Helmet Mount,Mount,Amazon,US,1,22.91,22.91,7,9.33,3.44,1.88
2025-05-04,AMA-100083,X3,X3,Action Camera,Amazon,US,1,375.09,375.09,220,7.49,56.26,20.8
2025-05-04,AMA-100084,Invisible Stick,Invisible Stick,Accessory,Amazon,UK,1,48.26,48.26,12,8.87,7.24,4.73
2025-05-04,AMA-100085,Helmet Mount,Helmet Mount,Mount,Amazon,DE,2,24.72,49.44,14,11.51,7.42,3.92
2025-05-04,AMA-100086,Bike Mount,Bike Mount,Mount,Amazon,US,1,17.94,17.94,6,8.85,2.69,2.14
2025-05-04,AMA-100087,Selfie Stick,Selfie Stick,Accessory,Amazon,US,2,25.58,51.16,16,13.53,7.67,4.24
2025-05-04,AMA-100088,X3,X3,Action Camera,Amazon,US,2,406.26,812.52,440,14.98,121.88,97.31
2025-05-04,AMA-100089,Battery,Battery,Accessory,Amazon,JP,1,38.84,38.84,15,6.69,5.83,2.29
2025-05-04,AMA-100090,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,24.63,24.63,8,6.14,3.69,1.43
2025-05-04,AMA-100091,Ace Pro,Ace Pro,Action Camera,Amazon,DE,1,400.6,400.6,200,7.3,60.09,35.76
2025-05-04,AMA-100092,GO 3S,GO 3S,Action Camera,Amazon,US,1,241.0,241.0,140,7.71,36.15,23.93
2025-05-04,AMA-100093,X4,X4,Action Camera,Amazon,US,1,489.16,489.16,320,6.34,73.37,39.44
2025-05-04,AMA-100094,X3,X3,Action Camera,Amazon,UK,1,434.72,434.72,220,7.72,65.21,47.98
2025-05-04,AMA-100095,X4,X4,Action Camera,Amazon,JP,1,497.91,497.91,320,6.74,74.69,59.05
2025-05-05,AMA-100096,X3,X3,Action Camera,Amazon,UK,1,409.71,409.71,220,4.76,61.46,24.16
2025-05-05,AMA-100097,X4,X4,Action Camera,Amazon,UK,1,538.71,538.71,320,9.37,80.81,44.81
2025-05-05,AMA-100098,X4,X4,Action Camera,Amazon,US,1,453.45,453.45,320,5.66,68.02,28.29
2025-05-05,AMA-100101,X4,X4,Action Camera,Amazon,US,1,497.69,497.69,320,4.23,74.65,52.73
2025-05-05,AMA-100102,X4,X4,Action Camera,Amazon,DE,2,497.62,995.24,640,8.48,149.29,105.93
2025-05-05,AMA-100103,X4,X4,Action Camera,Amazon,US,1,480.22,480.22,320,7.7,72.03,36.41
2025-05-05,AMA-100104,Battery,Battery,Accessory,Amazon,US,1,39.05,39.05,15,9.36,5.86,3.35
2025-05-05,AMA-100105,X4,X4,Action Camera,Amazon,US,1,459.69,459.69,320,5.61,68.95,35.12
2025-05-05,AMA-100107,X4,X4,Action Camera,Amazon,US,1,514.66,514.66,320,7.55,77.2,50.2
2025-05-05,AMA-100108,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,341.94,341.94,200,8.46,51.29,27.43
2025-05-05,AMA-100110,X3,X3,Action Camera,Amazon,UK,1,431.57,431.57,220,9.91,64.74,39.88
2025-05-05,AMA-100111,X4,X4,Action Camera,Amazon,US,1,452.75,452.75,320,5.11,67.91,31.67
2025-05-05,AMA-100112,Bike Mount,Bike Mount,Mount,Amazon,US,1,18.05,18.05,6,9.88,2.71,1.04
2025-05-05,AMA-100113,Tripod Stand,Tripod Stand,Mount,Amazon,DE,1,36.21,36.21,10,5.02,5.43,3.51
2025-05-05,AMA-100114,Ace Pro,Ace Pro,Action Camera,Amazon,UK,1,405.69,405.69,200,5.11,60.85,29.48
2025-05-05,AMA-100115,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,343.35,343.35,200,5.72,51.5,31.14
2025-05-05,AMA-100116,GO 3S,GO 3S,Action Camera,Amazon,UK,1,257.6,257.6,140,4.8,38.64,14.02
2025-05-05,AMA-100117,X3,X3,Action Camera,Amazon,DE,1,445.03,445.03,220,8.55,66.75,40.81
2025-05-05,AMA-100118,GO 3S,GO 3S,Action Camera,Amazon,US,2,244.07,488.14,280,14.67,73.22,28.65
2025-05-05,AMA-100119,Helmet Mount,Helmet Mount,Mount,Amazon,US,1,22.13,22.13,7,7.44,3.32,2.41
2025-05-06,AMA-100121,X4,X4,Action Camera,Amazon,US,1,508.22,508.22,320,7.98,76.23,44.02
2025-05-06,AMA-100122,Bike Mount,Bike Mount,Mount,Amazon,US,1,18.14,18.14,6,6.25,2.72,1.49
2025-05-06,AMA-100123,Battery,Battery,Accessory,Amazon,UK,1,46.33,46.33,15,6.29,6.95,4.08
2025-05-06,AMA-100124,Selfie Stick,Selfie Stick,Accessory,Amazon,US,2,24.67,49.34,16,9.0,7.4,2.95
2025-05-06,AMA-100125,Selfie Stick,Selfie Stick,Accessory,Amazon,UK,2,29.15,58.3,16,7.35,8.74,4.19
2025-05-06,AMA-100126,Battery,Battery,Accessory,Amazon,US,1,39.38,39.38,15,9.25,5.91,2.91
2025-05-06,AMA-100127,X4,X4,Action Camera,Amazon,DE,1,529.56,529.56,320,8.77,79.43,32.04
2025-05-06,AMA-100128,Battery,Battery,Accessory,Amazon,UK,1,44.76,44.76,15,7.25,6.71,3.03
2025-05-06,AMA-100129,X4,X4,Action Camera,Amazon,JP,1,510.97,510.97,320,6.76,76.65,59.43
2025-05-06,AMA-100130,Ace Pro,Ace Pro,Action Camera,Amazon,UK,1,354.42,354.42,200,9.22,53.16,40.85
2025-05-06,AMA-100131,Lens Cap,Lens Cap,Accessory,Amazon,JP,1,8.81,8.81,2,7.45,1.32,0.81
2025-05-06,AMA-100132,Battery,Battery,Accessory,Amazon,JP,2,40.29,80.58,30,7.0,12.09,9.58
2025-05-06,AMA-100133,X4,X4,Action Camera,Amazon,JP,2,521.78,1043.56,640,11.31,156.53,81.32
2025-05-06,AMA-100135,Charging Hub,Charging Hub,Accessory,Amazon,US,1,55.91,55.91,20,7.21,8.39,6.4
2025-05-06,AMA-100136,X3,X3,Action Camera,Amazon,DE,1,410.32,410.32,220,6.7,61.55,24.56
2025-05-06,AMA-100137,Ace Pro,Ace Pro,Action Camera,Amazon,US,2,328.62,657.24,400,11.21,98.59,61.95
2025-05-06,AMA-100139,X4,X4,Action Camera,Amazon,JP,1,512.24,512.24,320,4.5,76.84,61.36
2025-05-06,AMA-100140,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,22.89,22.89,8,9.38,3.43,1.47
2025-05-06,AMA-100141,X4,X4,Action Camera,Amazon,US,1,444.69,444.69,320,8.64,66.7,36.34
2025-05-06,AMA-100142,GO 3S,GO 3S,Action Camera,Amazon,US,1,216.63,216.63,140,5.08,32.49,23.9
2025-05-06,AMA-100143,GO 3S,GO 3S,Action Camera,Amazon,US,1,226.93,226.93,140,4.14,34.04,13.83
2025-05-07,AMA-100144,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,22.98,22.98,8,8.02,3.45,1.18
2025-05-07,AMA-100146,X4,X4,Action Camera,Amazon,UK,1,514.69,514.69,320,5.45,77.2,51.76
2025-05-07,AMA-100147,Charging Hub,Charging Hub,Accessory,Amazon,US,1,53.98,53.98,20,5.75,8.1,6.09
2025-05-07,AMA-100150,X4,X4,Action Camera,Amazon,US,1,474.87,474.87,320,9.35,71.23,50.92
2025-05-07,AMA-100151,X3,X3,Action Camera,Amazon,US,1,369.3,369.3,220,7.73,55.4,29.05
2025-05-07,AMA-100152,GO 3S,GO 3S,Action Camera,Amazon,US,2,241.35,482.7,280,7.25,72.4,53.48
2025-05-07,AMA-100153,Bike Mount,Bike Mount,Mount,Amazon,DE,1,18.81,18.81,6,5.6,2.82,1.65
2025-05-07,AMA-100154,X3,X3,Action Camera,Amazon,US,1,417.89,417.89,220,7.14,62.68,25.92
2025-05-07,AMA-100155,X4,X4,Action Camera,Amazon,JP,1,527.07,527.07,320,5.63,79.06,46.8
2025-05-07,AMA-100156,Charging Hub,Charging Hub,Accessory,Amazon,US,1,53.29,53.29,20,9.39,7.99,5.92
2025-05-07,AMA-100157,Selfie Stick,Selfie Stick,Accessory,Amazon,UK,1,29.77,29.77,8,6.5,4.47,2.29
2025-05-07,AMA-100158,X4,X4,Action Camera,Amazon,US,1,446.14,446.14,320,7.61,66.92,29.97
2025-05-07,AMA-100159,X3,X3,Action Camera,Amazon,US,1,371.27,371.27,220,7.39,55.69,30.94
2025-05-07,AMA-100160,Helmet Mount,Helmet Mount,Mount,Amazon,DE,1,21.81,21.81,7,5.56,3.27,2.0
2025-05-07,AMA-100162,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,22.45,22.45,8,4.44,3.37,2.27
2025-05-07,AMA-100163,Lens Cap,Lens Cap,Accessory,Amazon,US,1,9.17,9.17,2,8.79,1.38,0.9
2025-05-07,AMA-100164,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,25.9,25.9,8,4.81,3.88,3.02
2025-05-07,AMA-100165,X4,X4,Action Camera,Amazon,UK,2,576.42,1152.84,640,13.24,172.93,110.81
2025-05-07,AMA-100166,Charging Hub,Charging Hub,Accessory,Amazon,US,1,54.14,54.14,20,9.92,8.12,6.28
2025-05-08,AMA-100168,Helmet Mount,Helmet Mount,Mount,Amazon,US,1,22.78,22.78,7,4.19,3.42,2.25
2025-05-08,AMA-100169,Helmet Mount,Helmet Mount,Mount,Amazon,JP,2,22.82,45.64,14,13.74,6.85,4.98
2025-05-08,AMA-100170,Charging Hub,Charging Hub,Accessory,Amazon,US,1,54.23,54.23,20,4.71,8.13,3.0
2025-05-08,AMA-100171,X3,X3,Action Camera,Amazon,DE,1,417.21,417.21,220,7.23,62.58,43.95
2025-05-08,AMA-100172,Selfie Stick,Selfie Stick,Accessory,Amazon,DE,1,25.75,25.75,8,4.14,3.86,2.86
2025-05-08,AMA-100174,Ace Pro,Ace Pro,Action Camera,Amazon,JP,1,395.63,395.63,200,6.09,59.34,41.03
2025-05-08,AMA-100175,GO 3S,GO 3S,Action Camera,Amazon,UK,2,287.85,575.7,280,12.9,86.36,45.62
2025-05-08,AMA-100176,Battery,Battery,Accessory,Amazon,US,1,36.67,36.67,15,5.71,5.5,2.59
2025-05-08,AMA-100177,X4,X4,Action Camera,Amazon,US,3,475.41,1426.23,960,12.59,213.93,139.16
2025-05-08,AMA-100178,Tripod Stand,Tripod Stand,Mount,Amazon,DE,1,37.28,37.28,10,9.26,5.59,4.33
2025-05-08,AMA-100179,Selfie Stick,Selfie Stick,Accessory,Amazon,US,3,22.98,68.94,24,19.29,10.34,6.58
2025-05-08,AMA-100180,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,320.2,320.2,200,5.11,48.03,33.48
2025-05-08,AMA-100181,X4,X4,Action Camera,Amazon,JP,2,559.25,1118.5,640,14.94,167.78,69.54
2025-05-08,AMA-100182,Battery,Battery,Accessory,Amazon,UK,1,45.69,45.69,15,5.34,6.85,3.0
2025-05-08,AMA-100183,Selfie Stick,Selfie Stick,Accessory,Amazon,UK,1,29.59,29.59,8,5.58,4.44,1.75
2025-05-08,AMA-100184,Tripod Stand,Tripod Stand,Mount,Amazon,DE,1,38.86,38.86,10,7.3,5.83,2.18
2025-05-08,AMA-100185,GO 3S,GO 3S,Action Camera,Amazon,US,1,230.47,230.47,140,4.48,34.57,15.08
2025-05-08,AMA-100186,X4,X4,Action Camera,Amazon,DE,1,537.47,537.47,320,7.54,80.62,57.9
2025-05-08,AMA-100187,Lens Cap,Lens Cap,Accessory,Amazon,UK,1,10.65,10.65,2,8.77,1.6,1.02
2025-05-08,AMA-100188,Bike Mount,Bike Mount,Mount,Amazon,UK,1,21.82,21.82,6,8.07,3.27,2.04
2025-05-08,AMA-100189,X4,X4,Action Camera,Amazon,DE,2,494.59,989.18,640,13.42,148.38,58.38
2025-05-08,AMA-100190,Battery,Battery,Accessory,Amazon,US,1,39.84,39.84,15,7.03,5.98,2.01
2025-05-08,AMA-100191,Selfie Stick,Selfie Stick,Accessory,Amazon,JP,1,24.95,24.95,8,7.79,3.74,2.19
2025-05-09,AMA-100192,X4,X4,Action Camera,Amazon,DE,1,583.31,583.31,320,6.04,87.5,55.0
2025-05-09,AMA-100193,X4,X4,Action Camera,Amazon,JP,1,480.46,480.46,320,5.8,72.07,47.84
2025-05-09,AMA-100195,X3,X3,Action Camera,Amazon,UK,1,471.77,471.77,220,9.83,70.77,55.58
2025-05-09,AMA-100196,X4,X4,Action Camera,Amazon,DE,1,493.92,493.92,320,5.93,74.09,41.59
2025-05-09,AMA-100197,Lens Cap,Lens Cap,Accessory,Amazon,US,1,9.45,9.45,2,6.55,1.42,0.77
2025-05-09,AMA-100198,Battery,Battery,Accessory,Amazon,UK,1,40.1,40.1,15,8.07,6.02,3.84
2025-05-09,AMA-100199,Tripod Stand,Tripod Stand,Mount,Amazon,US,1,36.41,36.41,10,6.51,5.46,3.45
2025-05-09,AMA-100200,X3,X3,Action Camera,Amazon,JP,1,444.71,444.71,220,5.37,66.71,28.87
2025-05-09,AMA-100202,X3,X3,Action Camera,Amazon,DE,1,466.81,466.81,220,5.1,70.02,51.72
2025-05-09,AMA-100203,Battery,Battery,Accessory,Amazon,DE,1,43.09,43.09,15,4.78,6.46,2.25
2025-05-09,AMA-100204,Selfie Stick,Selfie Stick,Accessory,Amazon,DE,1,25.2,25.2,8,4.74,3.78,2.47
2025-05-09,AMA-100205,X4,X4,Action Camera,Amazon,US,1,488.49,488.49,320,5.6,73.27,51.7
2025-05-09,AMA-100206,GO 3S,GO 3S,Action Camera,Amazon,US,1,226.27,226.27,140,6.87,33.94,20.82
2025-05-09,AMA-100207,Lens Cap,Lens Cap,Accessory,Amazon,DE,1,8.94,8.94,2,6.87,1.34,0.51
2025-05-09,AMA-100208,Invisible Stick,Invisible Stick,Accessory,Amazon,US,1,44.33,44.33,12,8.2,6.65,3.95
2025-05-09,AMA-100210,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,309.09,309.09,200,4.46,46.36,24.04
2025-05-09,AMA-100212,Lens Cap,Lens Cap,Accessory,Amazon,DE,1,9.16,9.16,2,4.62,1.37,0.87
2025-05-09,AMA-100213,X4,X4,Action Camera,Amazon,JP,1,523.84,523.84,320,8.24,78.58,58.13
2025-05-09,AMA-100214,Charging Hub,Charging Hub,Accessory,Amazon,US,1,52.72,52.72,20,9.36,7.91,4.66
2025-05-09,AMA-100215,GO 3S,GO 3S,Action Camera,Amazon,UK,1,276.05,276.05,140,4.48,41.41,14.97
2025-05-10,AMA-100216,X4,X4,Action Camera,Amazon,DE,1,584.53,584.53,320,6.01,87.68,36.68
2025-05-10,AMA-100217,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,25.06,25.06,8,5.36,3.76,3.0
2025-05-10,AMA-100218,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,22.31,22.31,8,4.17,3.35,1.52
2025-05-10,AMA-100219,Bike Mount,Bike Mount,Mount,Amazon,DE,1,20.27,20.27,6,6.07,3.04,1.54
2025-05-10,AMA-100220,X4,X4,Action Camera,Amazon,DE,1,533.49,533.49,320,8.34,80.02,44.85
2025-05-10,AMA-100221,Helmet Mount,Helmet Mount,Mount,Amazon,US,1,21.58,21.58,7,9.46,3.24,1.4
2025-05-10,AMA-100222,Selfie Stick,Selfie Stick,Accessory,Amazon,DE,1,28.05,28.05,8,9.44,4.21,1.76
2025-05-10,AMA-100223,Invisible Stick,Invisible Stick,Accessory,Amazon,US,2,43.37,86.74,24,8.21,13.01,9.62
2025-05-10,AMA-100224,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,316.82,316.82,200,6.34,47.52,37.34
2025-05-10,AMA-100225,Selfie Stick,Selfie Stick,Accessory,Amazon,US,1,22.56,22.56,8,9.81,3.38,1.84
2025-05-10,AMA-100226,X4,X4,Action Camera,Amazon,US,1,467.71,467.71,320,8.96,70.16,37.49
2025-05-10,AMA-100227,Selfie Stick,Selfie Stick,Accessory,Amazon,UK,1,26.12,26.12,8,4.21,3.92,2.65
2025-05-10,AMA-100228,GO 3S,GO 3S,Action Camera,Amazon,DE,1,262.2,262.2,140,9.2,39.33,16.89
2025-05-10,AMA-100230,X4,X4,Action Camera,Amazon,UK,2,508.83,1017.66,640,7.08,152.65,83.1
2025-05-10,AMA-100231,X3,X3,Action Camera,Amazon,UK,1,415.36,415.36,220,9.91,62.3,48.83
2025-05-10,AMA-100233,Selfie Stick,Selfie Stick,Accessory,Amazon,DE,1,27.09,27.09,8,6.92,4.06,2.62
2025-05-10,AMA-100236,Lens Cap,Lens Cap,Accessory,Amazon,US,1,9.4,9.4,2,4.55,1.41,0.91
2025-05-10,AMA-100237,Bike Mount,Bike Mount,Mount,Amazon,US,1,19.43,19.43,6,9.66,2.91,1.9
2025-05-10,AMA-100238,Selfie Stick,Selfie Stick,Accessory,Amazon,DE,1,24.78,24.78,8,9.58,3.72,2.44
2025-05-10,AMA-100239,X4,X4,Action Camera,Amazon,UK,1,568.52,568.52,320,4.63,85.28,54.61
2025-05-11,AMA-100240,X4,X4,Action Camera,Amazon,JP,1,554.02,554.02,320,8.68,83.1,49.69
2025-05-11,AMA-100241,Bike Mount,Bike Mount,Mount,Amazon,US,1,18.88,18.88,6,8.84,2.83,1.95
2025-05-11,AMA-100242,GO 3S,GO 3S,Action Camera,Amazon,DE,1,260.34,260.34,140,4.02,39.05,18.93
2025-05-11,AMA-100243,GO 3S,GO 3S,Action Camera,Amazon,UK,1,262.83,262.83,140,5.42,39.42,20.01
2025-05-11,AMA-100244,X4,X4,Action Camera,Amazon,UK,1,565.42,565.42,320,6.77,84.81,43.3
2025-05-11,AMA-100245,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,327.37,327.37,200,6.27,49.11,25.51
2025-05-11,AMA-100246,Ace Pro,Ace Pro,Action Camera,Amazon,UK,1,408.66,408.66,200,8.3,61.3,47.77
2025-05-11,AMA-100248,X4,X4,Action Camera,Amazon,UK,2,528.74,1057.48,640,14.33,158.62,57.34
2025-05-11,AMA-100249,X3,X3,Action Camera,Amazon,US,1,368.54,368.54,220,5.7,55.28,26.35
2025-05-11,AMA-100250,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,349.61,349.61,200,5.63,52.44,27.6
2025-05-11,AMA-100252,Lens Cap,Lens Cap,Accessory,Amazon,US,1,9.0,9.0,2,4.63,1.35,0.81
2025-05-11,AMA-100253,Tripod Stand,Tripod Stand,Mount,Amazon,US,1,34.07,34.07,10,4.25,5.11,3.21
2025-05-11,AMA-100254,Selfie Stick,Selfie Stick,Accessory,Amazon,DE,2,25.73,51.46,16,7.89,7.72,4.77
2025-05-11,AMA-100255,Charging Hub,Charging Hub,Accessory,Amazon,JP,1,58.64,58.64,20,8.67,8.8,4.06
2025-05-11,AMA-100256,GO 3S,GO 3S,Action Camera,Amazon,UK,1,271.02,271.02,140,6.7,40.65,24.68
2025-05-11,AMA-100257,Battery,Battery,Accessory,Amazon,DE,1,39.15,39.15,15,4.13,5.87,3.72
2025-05-11,AMA-100258,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,342.39,342.39,200,6.97,51.36,40.79
2025-05-11,AMA-100260,GO 3S,GO 3S,Action Camera,Amazon,US,1,238.45,238.45,140,9.94,35.77,14.07
2025-05-11,AMA-100262,Ace Pro,Ace Pro,Action Camera,Amazon,US,1,312.2,312.2,200,9.36,46.83,19.8
